voter,anomaly,True Positives,True Negatives,False Positives,False Negatives,Precision,Recall,FScore(0.5),F-Measure,FScore(2.0),
BEST 3,ALL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
BEST 3,HALF,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
BEST 3,THIRD,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
BEST 3,QUARTER,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
BEST 3,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
BEST 50,ALL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
BEST 50,HALF,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
BEST 50,THIRD,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
BEST 50,QUARTER,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
BEST 50,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
BEST 30,ALL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
BEST 30,HALF,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
BEST 30,THIRD,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
BEST 30,QUARTER,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
BEST 30,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
BEST 10,ALL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
BEST 10,HALF,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
BEST 10,THIRD,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
BEST 10,QUARTER,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
BEST 10,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
BEST 5,ALL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
BEST 5,HALF,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
BEST 5,THIRD,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
BEST 5,QUARTER,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
BEST 5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
FILTERED 50,ALL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
FILTERED 50,HALF,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
FILTERED 50,THIRD,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
