selection_strategy,checkers,ALL, HALF, THIRD, QUARTER, 1,
BEST 3,0,NaN,NaN,NaN,NaN,NaN,
BEST 50,0,NaN,NaN,NaN,NaN,NaN,
BEST 30,0,NaN,NaN,NaN,NaN,NaN,
BEST 10,0,NaN,NaN,NaN,NaN,NaN,
BEST 5,0,NaN,NaN,NaN,NaN,NaN,
FILTERED 50,0,NaN,NaN,NaN,NaN,NaN,
FILTERED 30,0,NaN,NaN,NaN,NaN,NaN,
FILTERED 5,0,NaN,NaN,NaN,NaN,NaN,
0.1,0,NaN,NaN,NaN,NaN,NaN,
0.2,0,NaN,NaN,NaN,NaN,NaN,
FILTERED 3,0,NaN,NaN,NaN,NaN,NaN,
0.3,0,NaN,NaN,NaN,NaN,NaN,
0.4,0,NaN,NaN,NaN,NaN,NaN,
0.5,0,NaN,NaN,NaN,NaN,NaN,
FILTERED 10,0,NaN,NaN,NaN,NaN,NaN,
