timestamp,anomaly_alerts,JVM@HIST,JVM@SPS,NO_LAYER@INV,COMPOSITION@SPS,CENTOS@HIST,CENTOS@SPS,UNIX_NETWORK@SPS,details
0.0,3,0,0,0,0,3,0,0,HistoricalIndicatorChecker@Inactive Files|HistoricalIndicatorChecker@Inactive Memory|HistoricalIndicatorChecker@Cached Memory|
1.0,41,0,6,3,18,3,7,4,SPSDetector@(Tcp_Listen#PLAIN#UNIX_NETWORK)/(Major Page Faults#PLAIN#CENTOS)|SPSDetector@(Tcp_Listen#DIFFERENCE#UNIX_NETWORK)/(Major Page Faults#DIFFERENCE#CENTOS)|SPSDetector@Tcp_Listen|SPSDetector@Tcp_Listen|SPSDetector@(Tcp_Listen#PLAIN#UNIX_NETWORK)/(Major Page Faults#PLAIN#CENTOS)|SPSDetector@ProcessCpuLoad|SPSDetector@(Tcp_Syn#PLAIN#UNIX_NETWORK)/(Buffers#PLAIN#CENTOS)|SPSDetector@(Tcp_Syn#DIFFERENCE#UNIX_NETWORK)/(Buffers#DIFFERENCE#CENTOS)|SPSDetector@Tcp_Syn|SPSDetector@(Tcp_Syn#PLAIN#UNIX_NETWORK)/(Buffers#PLAIN#CENTOS)|SPSDetector@Tcp_Syn|SPSDetector@Activated Virtual Pages|SPSDetector@Active Files|SPSDetector@CurrentThreadUserTime|SPSDetector@CPU Kernel Processes|SPSDetector@(CurrentThreadCpuTime#DIFFERENCE#JVM)/(CurrentThreadUserTime#DIFFERENCE#JVM)|SPSDetector@(CurrentThreadCpuTime#PLAIN#JVM)/(CurrentThreadUserTime#PLAIN#JVM)|HistoricalIndicatorChecker@Inactive Files|HistoricalIndicatorChecker@Inactive Memory|SPSDetector@Cached Memory|SPSDetector@(Inactive Memory#PLAIN#CENTOS)/(Cached Memory#PLAIN#CENTOS)|SPSDetector@(Inactive Memory#DIFFERENCE#CENTOS)/(Cached Memory#DIFFERENCE#CENTOS)|HistoricalIndicatorChecker@Cached Memory|SPSDetector@(Active Files#PLAIN#CENTOS)/(Inactive Files#PLAIN#CENTOS)|SPSDetector@(Active Files#DIFFERENCE#CENTOS)/(Inactive Files#DIFFERENCE#CENTOS)|ippoz.multilayer.detector.algorithm.InvariantChecker@3236c302|SPSDetector@(Buffers#PLAIN#CENTOS)/(NonHeapMemoryUsage.used#PLAIN#JVM)|SPSDetector@(Activated Virtual Pages#PLAIN#CENTOS)/(NonHeapMemoryUsage.used#PLAIN#JVM)|SPSDetector@(Buffers#DIFFERENCE#CENTOS)/(NonHeapMemoryUsage.used#DIFFERENCE#JVM)|SPSDetector@(Activated Virtual Pages#DIFFERENCE#CENTOS)/(NonHeapMemoryUsage.used#DIFFERENCE#JVM)|SPSDetector@NonHeapMemoryUsage.used|SPSDetector@Active Memory|SPSDetector@SystemCpuLoad|SPSDetector@Free Virtual Pages|ippoz.multilayer.detector.algorithm.InvariantChecker@1aa7cf07|SPSDetector@ProcessCpuTime|SPSDetector@LoadedClassCount|SPSDetector@Minor Page Faults|ippoz.multilayer.detector.algorithm.InvariantChecker@3f88e0fc|SPSDetector@(Active Memory#PLAIN#CENTOS)/(Cached Memory#PLAIN#CENTOS)|SPSDetector@(Active Memory#DIFFERENCE#CENTOS)/(Cached Memory#DIFFERENCE#CENTOS)|
2.0,42,0,5,1,21,3,9,3,SPSDetector@(Tcp_Listen#PLAIN#UNIX_NETWORK)/(Major Page Faults#PLAIN#CENTOS)|SPSDetector@(Tcp_Listen#DIFFERENCE#UNIX_NETWORK)/(Major Page Faults#DIFFERENCE#CENTOS)|SPSDetector@Tcp_Listen|SPSDetector@ProcessCpuLoad|SPSDetector@(Tcp_Syn#PLAIN#UNIX_NETWORK)/(Buffers#PLAIN#CENTOS)|SPSDetector@(Tcp_Syn#DIFFERENCE#UNIX_NETWORK)/(Buffers#DIFFERENCE#CENTOS)|SPSDetector@Tcp_Syn|SPSDetector@(Tcp_Syn#PLAIN#UNIX_NETWORK)/(Buffers#PLAIN#CENTOS)|SPSDetector@Tcp_Syn|SPSDetector@Activated Virtual Pages|SPSDetector@Active Files|SPSDetector@CPU Kernel Processes|SPSDetector@PageOut|SPSDetector@(CurrentThreadCpuTime#DIFFERENCE#JVM)/(CurrentThreadUserTime#DIFFERENCE#JVM)|SPSDetector@(CurrentThreadCpuTime#PLAIN#JVM)/(CurrentThreadUserTime#PLAIN#JVM)|SPSDetector@(PageIn#PLAIN#CENTOS)/(PageOut#PLAIN#CENTOS)|SPSDetector@(PageIn#DIFFERENCE#CENTOS)/(PageOut#DIFFERENCE#CENTOS)|HistoricalIndicatorChecker@Inactive Files|HistoricalIndicatorChecker@Inactive Memory|SPSDetector@Cached Memory|SPSDetector@(Inactive Memory#PLAIN#CENTOS)/(Cached Memory#PLAIN#CENTOS)|SPSDetector@(Inactive Memory#DIFFERENCE#CENTOS)/(Cached Memory#DIFFERENCE#CENTOS)|HistoricalIndicatorChecker@Cached Memory|SPSDetector@Inactive Files|SPSDetector@(Active Files#PLAIN#CENTOS)/(Inactive Files#PLAIN#CENTOS)|SPSDetector@(Active Files#DIFFERENCE#CENTOS)/(Inactive Files#DIFFERENCE#CENTOS)|SPSDetector@(Inactive Files#PLAIN#CENTOS)/(Deactivated Virtual Pages#PLAIN#CENTOS)|SPSDetector@(Inactive Files#DIFFERENCE#CENTOS)/(Deactivated Virtual Pages#DIFFERENCE#CENTOS)|SPSDetector@Inactive Memory|SPSDetector@(Buffers#PLAIN#CENTOS)/(NonHeapMemoryUsage.used#PLAIN#JVM)|SPSDetector@(Activated Virtual Pages#PLAIN#CENTOS)/(NonHeapMemoryUsage.used#PLAIN#JVM)|SPSDetector@(Buffers#DIFFERENCE#CENTOS)/(NonHeapMemoryUsage.used#DIFFERENCE#JVM)|SPSDetector@(Activated Virtual Pages#DIFFERENCE#CENTOS)/(NonHeapMemoryUsage.used#DIFFERENCE#JVM)|SPSDetector@NonHeapMemoryUsage.used|SPSDetector@Active Memory|SPSDetector@SystemCpuLoad|ippoz.multilayer.detector.algorithm.InvariantChecker@1aa7cf07|SPSDetector@SystemCpuLoad|SPSDetector@LoadedClassCount|SPSDetector@Minor Page Faults|SPSDetector@(Active Memory#PLAIN#CENTOS)/(Cached Memory#PLAIN#CENTOS)|SPSDetector@(Active Memory#DIFFERENCE#CENTOS)/(Cached Memory#DIFFERENCE#CENTOS)|
3.0,30,2,2,2,12,5,4,3,SPSDetector@(Tcp_Listen#PLAIN#UNIX_NETWORK)/(Major Page Faults#PLAIN#CENTOS)|SPSDetector@(Tcp_Listen#DIFFERENCE#UNIX_NETWORK)/(Major Page Faults#DIFFERENCE#CENTOS)|SPSDetector@Tcp_Listen|SPSDetector@Tcp_Listen|SPSDetector@(Tcp_Listen#PLAIN#UNIX_NETWORK)/(Major Page Faults#PLAIN#CENTOS)|HistoricalIndicatorChecker@CPU I/O Wait Processes|SPSDetector@(Tcp_Syn#PLAIN#UNIX_NETWORK)/(Buffers#PLAIN#CENTOS)|SPSDetector@Tcp_Syn|HistoricalIndicatorChecker@ProcessCpuLoad|HistoricalIndicatorChecker@ProcessCpuLoad|SPSDetector@Active Files|SPSDetector@PageOut|HistoricalIndicatorChecker@CPU Interrupts|SPSDetector@(PageIn#PLAIN#CENTOS)/(PageOut#PLAIN#CENTOS)|SPSDetector@(PageIn#DIFFERENCE#CENTOS)/(PageOut#DIFFERENCE#CENTOS)|HistoricalIndicatorChecker@Inactive Files|HistoricalIndicatorChecker@Inactive Memory|SPSDetector@(Inactive Memory#PLAIN#CENTOS)/(Cached Memory#PLAIN#CENTOS)|SPSDetector@(Inactive Memory#DIFFERENCE#CENTOS)/(Cached Memory#DIFFERENCE#CENTOS)|HistoricalIndicatorChecker@Cached Memory|SPSDetector@(Active Files#PLAIN#CENTOS)/(Inactive Files#PLAIN#CENTOS)|SPSDetector@(Active Files#DIFFERENCE#CENTOS)/(Inactive Files#DIFFERENCE#CENTOS)|SPSDetector@(Inactive Files#PLAIN#CENTOS)/(Deactivated Virtual Pages#PLAIN#CENTOS)|SPSDetector@(Inactive Files#DIFFERENCE#CENTOS)/(Deactivated Virtual Pages#DIFFERENCE#CENTOS)|SPSDetector@Inactive Memory|SPSDetector@SystemCpuLoad|SPSDetector@Free Virtual Pages|ippoz.multilayer.detector.algorithm.InvariantChecker@1aa7cf07|SPSDetector@ProcessCpuTime|ippoz.multilayer.detector.algorithm.InvariantChecker@3f88e0fc|
4.0,26,2,1,0,10,4,8,1,SPSDetector@(Tcp_Listen#PLAIN#UNIX_NETWORK)/(Major Page Faults#PLAIN#CENTOS)|SPSDetector@(Tcp_Listen#DIFFERENCE#UNIX_NETWORK)/(Major Page Faults#DIFFERENCE#CENTOS)|SPSDetector@Tcp_Listen|HistoricalIndicatorChecker@ProcessCpuLoad|SPSDetector@Activated Virtual Pages|SPSDetector@Buffers|HistoricalIndicatorChecker@ProcessCpuLoad|SPSDetector@Active Files|HistoricalIndicatorChecker@CPU Interrupts|SPSDetector@(CurrentThreadCpuTime#DIFFERENCE#JVM)/(CurrentThreadUserTime#DIFFERENCE#JVM)|SPSDetector@(CurrentThreadCpuTime#PLAIN#JVM)/(CurrentThreadUserTime#PLAIN#JVM)|HistoricalIndicatorChecker@Inactive Files|HistoricalIndicatorChecker@Inactive Memory|SPSDetector@Cached Memory|SPSDetector@(Inactive Memory#PLAIN#CENTOS)/(Cached Memory#PLAIN#CENTOS)|SPSDetector@(Inactive Memory#DIFFERENCE#CENTOS)/(Cached Memory#DIFFERENCE#CENTOS)|HistoricalIndicatorChecker@Cached Memory|SPSDetector@Inactive Files|SPSDetector@(Active Files#PLAIN#CENTOS)/(Inactive Files#PLAIN#CENTOS)|SPSDetector@(Active Files#DIFFERENCE#CENTOS)/(Inactive Files#DIFFERENCE#CENTOS)|SPSDetector@(Inactive Files#PLAIN#CENTOS)/(Deactivated Virtual Pages#PLAIN#CENTOS)|SPSDetector@(Inactive Files#DIFFERENCE#CENTOS)/(Deactivated Virtual Pages#DIFFERENCE#CENTOS)|SPSDetector@Inactive Memory|SPSDetector@CPU I/O Wait Processes|SPSDetector@Free Virtual Pages|SPSDetector@ProcessCpuTime|
5.0,29,0,4,1,12,1,9,2,SPSDetector@Tcp_Listen|SPSDetector@(Tcp_Listen#PLAIN#UNIX_NETWORK)/(Major Page Faults#PLAIN#CENTOS)|SPSDetector@(Tcp_Syn#PLAIN#UNIX_NETWORK)/(Buffers#PLAIN#CENTOS)|SPSDetector@Tcp_Syn|SPSDetector@Activated Virtual Pages|SPSDetector@Buffers|SPSDetector@Active Files|SPSDetector@CPU Kernel Processes|SPSDetector@CommittedVirtualMemorySize|SPSDetector@(CurrentThreadCpuTime#DIFFERENCE#JVM)/(CurrentThreadUserTime#DIFFERENCE#JVM)|SPSDetector@(CurrentThreadCpuTime#PLAIN#JVM)/(CurrentThreadUserTime#PLAIN#JVM)|SPSDetector@Cached Memory|SPSDetector@(Inactive Memory#PLAIN#CENTOS)/(Cached Memory#PLAIN#CENTOS)|SPSDetector@(Inactive Memory#DIFFERENCE#CENTOS)/(Cached Memory#DIFFERENCE#CENTOS)|SPSDetector@Inactive Files|SPSDetector@(Active Files#PLAIN#CENTOS)/(Inactive Files#PLAIN#CENTOS)|SPSDetector@(Active Files#DIFFERENCE#CENTOS)/(Inactive Files#DIFFERENCE#CENTOS)|SPSDetector@(Inactive Files#PLAIN#CENTOS)/(Deactivated Virtual Pages#PLAIN#CENTOS)|SPSDetector@(Inactive Files#DIFFERENCE#CENTOS)/(Deactivated Virtual Pages#DIFFERENCE#CENTOS)|SPSDetector@Inactive Memory|SPSDetector@CPU I/O Wait Processes|HistoricalIndicatorChecker@PageIn|SPSDetector@SystemCpuLoad|SPSDetector@Free Virtual Pages|SPSDetector@SystemCpuLoad|SPSDetector@ProcessCpuTime|ippoz.multilayer.detector.algorithm.InvariantChecker@3f88e0fc|SPSDetector@(Active Memory#PLAIN#CENTOS)/(Cached Memory#PLAIN#CENTOS)|SPSDetector@(Active Memory#DIFFERENCE#CENTOS)/(Cached Memory#DIFFERENCE#CENTOS)|
6.0,29,0,1,1,14,1,8,4,SPSDetector@(Tcp_Listen#PLAIN#UNIX_NETWORK)/(Major Page Faults#PLAIN#CENTOS)|SPSDetector@(Tcp_Listen#DIFFERENCE#UNIX_NETWORK)/(Major Page Faults#DIFFERENCE#CENTOS)|SPSDetector@Tcp_Listen|SPSDetector@Tcp_Listen|SPSDetector@(Tcp_Listen#PLAIN#UNIX_NETWORK)/(Major Page Faults#PLAIN#CENTOS)|SPSDetector@(Tcp_Syn#PLAIN#UNIX_NETWORK)/(Buffers#PLAIN#CENTOS)|SPSDetector@(Tcp_Syn#DIFFERENCE#UNIX_NETWORK)/(Buffers#DIFFERENCE#CENTOS)|SPSDetector@Tcp_Syn|SPSDetector@(Tcp_Syn#PLAIN#UNIX_NETWORK)/(Buffers#PLAIN#CENTOS)|SPSDetector@Tcp_Syn|SPSDetector@Activated Virtual Pages|SPSDetector@Active Files|SPSDetector@CPU Kernel Processes|SPSDetector@CommittedVirtualMemorySize|SPSDetector@Cached Memory|SPSDetector@(Inactive Memory#PLAIN#CENTOS)/(Cached Memory#PLAIN#CENTOS)|SPSDetector@(Inactive Memory#DIFFERENCE#CENTOS)/(Cached Memory#DIFFERENCE#CENTOS)|SPSDetector@Inactive Files|SPSDetector@(Active Files#PLAIN#CENTOS)/(Inactive Files#PLAIN#CENTOS)|SPSDetector@(Active Files#DIFFERENCE#CENTOS)/(Inactive Files#DIFFERENCE#CENTOS)|SPSDetector@(Inactive Files#PLAIN#CENTOS)/(Deactivated Virtual Pages#PLAIN#CENTOS)|SPSDetector@(Inactive Files#DIFFERENCE#CENTOS)/(Deactivated Virtual Pages#DIFFERENCE#CENTOS)|SPSDetector@Inactive Memory|SPSDetector@Active Memory|HistoricalIndicatorChecker@PageIn|SPSDetector@Free Virtual Pages|ippoz.multilayer.detector.algorithm.InvariantChecker@3f88e0fc|SPSDetector@(Active Memory#PLAIN#CENTOS)/(Cached Memory#PLAIN#CENTOS)|SPSDetector@(Active Memory#DIFFERENCE#CENTOS)/(Cached Memory#DIFFERENCE#CENTOS)|
7.0,26,0,0,2,12,1,10,1,SPSDetector@(Tcp_Listen#PLAIN#UNIX_NETWORK)/(Major Page Faults#PLAIN#CENTOS)|SPSDetector@(Tcp_Listen#DIFFERENCE#UNIX_NETWORK)/(Major Page Faults#DIFFERENCE#CENTOS)|SPSDetector@Tcp_Listen|SPSDetector@Activated Virtual Pages|SPSDetector@Active Files|SPSDetector@CPU Kernel Processes|SPSDetector@PageOut|SPSDetector@(PageIn#PLAIN#CENTOS)/(PageOut#PLAIN#CENTOS)|SPSDetector@(PageIn#DIFFERENCE#CENTOS)/(PageOut#DIFFERENCE#CENTOS)|SPSDetector@Cached Memory|SPSDetector@(Inactive Memory#PLAIN#CENTOS)/(Cached Memory#PLAIN#CENTOS)|SPSDetector@(Inactive Memory#DIFFERENCE#CENTOS)/(Cached Memory#DIFFERENCE#CENTOS)|SPSDetector@Inactive Files|SPSDetector@(Active Files#PLAIN#CENTOS)/(Inactive Files#PLAIN#CENTOS)|SPSDetector@(Active Files#DIFFERENCE#CENTOS)/(Inactive Files#DIFFERENCE#CENTOS)|SPSDetector@(Inactive Files#PLAIN#CENTOS)/(Deactivated Virtual Pages#PLAIN#CENTOS)|SPSDetector@(Inactive Files#DIFFERENCE#CENTOS)/(Deactivated Virtual Pages#DIFFERENCE#CENTOS)|SPSDetector@Inactive Memory|SPSDetector@Active Memory|HistoricalIndicatorChecker@PageIn|SPSDetector@Free Virtual Pages|ippoz.multilayer.detector.algorithm.InvariantChecker@1aa7cf07|SPSDetector@Minor Page Faults|ippoz.multilayer.detector.algorithm.InvariantChecker@3f88e0fc|SPSDetector@(Active Memory#PLAIN#CENTOS)/(Cached Memory#PLAIN#CENTOS)|SPSDetector@(Active Memory#DIFFERENCE#CENTOS)/(Cached Memory#DIFFERENCE#CENTOS)|
8.0,14,0,1,2,6,2,3,0,SPSDetector@CurrentThreadUserTime|SPSDetector@PageOut|HistoricalIndicatorChecker@CPU Interrupts|SPSDetector@(CurrentThreadCpuTime#DIFFERENCE#JVM)/(CurrentThreadUserTime#DIFFERENCE#JVM)|SPSDetector@(CurrentThreadCpuTime#PLAIN#JVM)/(CurrentThreadUserTime#PLAIN#JVM)|SPSDetector@(PageIn#PLAIN#CENTOS)/(PageOut#PLAIN#CENTOS)|SPSDetector@(PageIn#DIFFERENCE#CENTOS)/(PageOut#DIFFERENCE#CENTOS)|SPSDetector@Active Memory|HistoricalIndicatorChecker@PageIn|ippoz.multilayer.detector.algorithm.InvariantChecker@1aa7cf07|SPSDetector@Minor Page Faults|ippoz.multilayer.detector.algorithm.InvariantChecker@3f88e0fc|SPSDetector@(Active Memory#PLAIN#CENTOS)/(Cached Memory#PLAIN#CENTOS)|SPSDetector@(Active Memory#DIFFERENCE#CENTOS)/(Cached Memory#DIFFERENCE#CENTOS)|
9.0,14,0,1,1,6,1,5,0,SPSDetector@Active Files|SPSDetector@CurrentThreadUserTime|SPSDetector@PageOut|SPSDetector@(CurrentThreadCpuTime#DIFFERENCE#JVM)/(CurrentThreadUserTime#DIFFERENCE#JVM)|SPSDetector@(CurrentThreadCpuTime#PLAIN#JVM)/(CurrentThreadUserTime#PLAIN#JVM)|SPSDetector@(PageIn#PLAIN#CENTOS)/(PageOut#PLAIN#CENTOS)|SPSDetector@(PageIn#DIFFERENCE#CENTOS)/(PageOut#DIFFERENCE#CENTOS)|SPSDetector@(Inactive Files#PLAIN#CENTOS)/(Deactivated Virtual Pages#PLAIN#CENTOS)|SPSDetector@(Inactive Files#DIFFERENCE#CENTOS)/(Deactivated Virtual Pages#DIFFERENCE#CENTOS)|SPSDetector@Inactive Memory|SPSDetector@CPU I/O Wait Processes|HistoricalIndicatorChecker@PageIn|SPSDetector@Free Virtual Pages|ippoz.multilayer.detector.algorithm.InvariantChecker@1aa7cf07|
