timestamp,anomaly_alerts,NO_LAYER@PEA,COMPOSITION@SPS,COMPOSITION@CONF,CENTOS@SPS,CENTOS@CONF,CENTOS@HIST,UNIX_NETWORK@SPS,UNIX_NETWORK@CONF,JVM@SPS,JVM@CONF,JVM@HIST,JVM@WER,details
0.0,10,0,0,1,0,5,3,0,1,0,0,0,0,HistoricalIndicatorChecker@Inactive Memory|HistoricalIndicatorChecker@Inactive Files|ConfidenceIntervalChecker@Inactive Memory|ConfidenceIntervalChecker@Inactive Files|HistoricalIndicatorChecker@Cached Memory|ConfidenceIntervalChecker@Cached Memory|ConfidenceIntervalChecker@CPU Kernel Processes|ConfidenceIntervalChecker@CPU I/O Wait Processes|ConfidenceIntervalChecker@(CPU Idle Processes#PLAIN#CENTOS)/(CPU Interrupts#PLAIN#CENTOS)|ConfidenceIntervalChecker@Tcp_Close|
1.0,48,4,18,1,7,4,3,4,1,6,0,0,0,SPSDetector@(Tcp_Listen#PLAIN#UNIX_NETWORK)/(Major Page Faults#PLAIN#CENTOS)|SPSDetector@(Tcp_Listen#DIFFERENCE#UNIX_NETWORK)/(Major Page Faults#DIFFERENCE#CENTOS)|SPSDetector@Tcp_Listen|SPSDetector@Tcp_Listen|SPSDetector@(Tcp_Listen#PLAIN#UNIX_NETWORK)/(Major Page Faults#PLAIN#CENTOS)|SPSDetector@ProcessCpuLoad|SPSDetector@(Tcp_Syn#PLAIN#UNIX_NETWORK)/(Buffers#PLAIN#CENTOS)|SPSDetector@(Tcp_Syn#DIFFERENCE#UNIX_NETWORK)/(Buffers#DIFFERENCE#CENTOS)|SPSDetector@Tcp_Syn|SPSDetector@(Tcp_Syn#PLAIN#UNIX_NETWORK)/(Buffers#PLAIN#CENTOS)|SPSDetector@Tcp_Syn|SPSDetector@Activated Virtual Pages|SPSDetector@Active Files|SPSDetector@CurrentThreadUserTime|SPSDetector@CPU Kernel Processes|SPSDetector@(CurrentThreadCpuTime#DIFFERENCE#JVM)/(CurrentThreadUserTime#DIFFERENCE#JVM)|SPSDetector@(CurrentThreadCpuTime#PLAIN#JVM)/(CurrentThreadUserTime#PLAIN#JVM)|HistoricalIndicatorChecker@Inactive Memory|HistoricalIndicatorChecker@Inactive Files|SPSDetector@Cached Memory|ConfidenceIntervalChecker@Inactive Memory|ConfidenceIntervalChecker@Inactive Files|SPSDetector@(Inactive Memory#PLAIN#CENTOS)/(Cached Memory#PLAIN#CENTOS)|SPSDetector@(Inactive Memory#DIFFERENCE#CENTOS)/(Cached Memory#DIFFERENCE#CENTOS)|HistoricalIndicatorChecker@Cached Memory|ConfidenceIntervalChecker@Cached Memory|SPSDetector@(Active Files#PLAIN#CENTOS)/(Inactive Files#PLAIN#CENTOS)|SPSDetector@(Active Files#DIFFERENCE#CENTOS)/(Inactive Files#DIFFERENCE#CENTOS)|SPSDetector@(Buffers#PLAIN#CENTOS)/(NonHeapMemoryUsage.used#PLAIN#JVM)|SPSDetector@(Activated Virtual Pages#PLAIN#CENTOS)/(NonHeapMemoryUsage.used#PLAIN#JVM)|SPSDetector@(Buffers#DIFFERENCE#CENTOS)/(NonHeapMemoryUsage.used#DIFFERENCE#JVM)|SPSDetector@(Activated Virtual Pages#DIFFERENCE#CENTOS)/(NonHeapMemoryUsage.used#DIFFERENCE#JVM)|SPSDetector@NonHeapMemoryUsage.used|SPSDetector@Active Memory|SPSDetector@SystemCpuLoad|ippoz.multilayer.detector.algorithm.PearsonIndexChecker@7f4463d8|ippoz.multilayer.detector.algorithm.PearsonIndexChecker@205504c1|ippoz.multilayer.detector.algorithm.PearsonIndexChecker@98aa316|ippoz.multilayer.detector.algorithm.PearsonIndexChecker@69cb3dcb|ConfidenceIntervalChecker@CPU I/O Wait Processes|SPSDetector@Free Virtual Pages|ConfidenceIntervalChecker@(CPU Idle Processes#PLAIN#CENTOS)/(CPU Interrupts#PLAIN#CENTOS)|SPSDetector@ProcessCpuTime|ConfidenceIntervalChecker@Tcp_Close|SPSDetector@LoadedClassCount|SPSDetector@Minor Page Faults|SPSDetector@(Active Memory#PLAIN#CENTOS)/(Cached Memory#PLAIN#CENTOS)|SPSDetector@(Active Memory#DIFFERENCE#CENTOS)/(Cached Memory#DIFFERENCE#CENTOS)|
2.0,52,4,21,1,9,4,3,3,1,5,0,0,1,SPSDetector@(Tcp_Listen#PLAIN#UNIX_NETWORK)/(Major Page Faults#PLAIN#CENTOS)|SPSDetector@(Tcp_Listen#DIFFERENCE#UNIX_NETWORK)/(Major Page Faults#DIFFERENCE#CENTOS)|SPSDetector@Tcp_Listen|SPSDetector@ProcessCpuLoad|SPSDetector@(Tcp_Syn#PLAIN#UNIX_NETWORK)/(Buffers#PLAIN#CENTOS)|SPSDetector@(Tcp_Syn#DIFFERENCE#UNIX_NETWORK)/(Buffers#DIFFERENCE#CENTOS)|SPSDetector@Tcp_Syn|SPSDetector@(Tcp_Syn#PLAIN#UNIX_NETWORK)/(Buffers#PLAIN#CENTOS)|SPSDetector@Tcp_Syn|SPSDetector@Activated Virtual Pages|SPSDetector@Active Files|SPSDetector@CPU Kernel Processes|SPSDetector@PageOut|SPSDetector@(CurrentThreadCpuTime#DIFFERENCE#JVM)/(CurrentThreadUserTime#DIFFERENCE#JVM)|SPSDetector@(CurrentThreadCpuTime#PLAIN#JVM)/(CurrentThreadUserTime#PLAIN#JVM)|SPSDetector@(PageIn#PLAIN#CENTOS)/(PageOut#PLAIN#CENTOS)|SPSDetector@(PageIn#DIFFERENCE#CENTOS)/(PageOut#DIFFERENCE#CENTOS)|HistoricalIndicatorChecker@Inactive Memory|HistoricalIndicatorChecker@Inactive Files|SPSDetector@Cached Memory|ConfidenceIntervalChecker@Inactive Memory|ConfidenceIntervalChecker@Inactive Files|SPSDetector@(Inactive Memory#PLAIN#CENTOS)/(Cached Memory#PLAIN#CENTOS)|SPSDetector@(Inactive Memory#DIFFERENCE#CENTOS)/(Cached Memory#DIFFERENCE#CENTOS)|HistoricalIndicatorChecker@Cached Memory|ConfidenceIntervalChecker@Cached Memory|SPSDetector@Inactive Files|SPSDetector@(Active Files#PLAIN#CENTOS)/(Inactive Files#PLAIN#CENTOS)|SPSDetector@(Active Files#DIFFERENCE#CENTOS)/(Inactive Files#DIFFERENCE#CENTOS)|SPSDetector@(Inactive Files#PLAIN#CENTOS)/(Deactivated Virtual Pages#PLAIN#CENTOS)|SPSDetector@(Inactive Files#DIFFERENCE#CENTOS)/(Deactivated Virtual Pages#DIFFERENCE#CENTOS)|SPSDetector@Inactive Memory|SPSDetector@(Buffers#PLAIN#CENTOS)/(NonHeapMemoryUsage.used#PLAIN#JVM)|SPSDetector@(Activated Virtual Pages#PLAIN#CENTOS)/(NonHeapMemoryUsage.used#PLAIN#JVM)|SPSDetector@(Buffers#DIFFERENCE#CENTOS)/(NonHeapMemoryUsage.used#DIFFERENCE#JVM)|SPSDetector@(Activated Virtual Pages#DIFFERENCE#CENTOS)/(NonHeapMemoryUsage.used#DIFFERENCE#JVM)|SPSDetector@NonHeapMemoryUsage.used|WesternElectricRulesChecker@SystemCpuLoad|SPSDetector@Active Memory|SPSDetector@SystemCpuLoad|ippoz.multilayer.detector.algorithm.PearsonIndexChecker@7f4463d8|ippoz.multilayer.detector.algorithm.PearsonIndexChecker@205504c1|ippoz.multilayer.detector.algorithm.PearsonIndexChecker@98aa316|ippoz.multilayer.detector.algorithm.PearsonIndexChecker@69cb3dcb|ConfidenceIntervalChecker@CPU I/O Wait Processes|SPSDetector@SystemCpuLoad|ConfidenceIntervalChecker@(CPU Idle Processes#PLAIN#CENTOS)/(CPU Interrupts#PLAIN#CENTOS)|ConfidenceIntervalChecker@Tcp_Close|SPSDetector@LoadedClassCount|SPSDetector@Minor Page Faults|SPSDetector@(Active Memory#PLAIN#CENTOS)/(Cached Memory#PLAIN#CENTOS)|SPSDetector@(Active Memory#DIFFERENCE#CENTOS)/(Cached Memory#DIFFERENCE#CENTOS)|
3.0,41,4,12,1,4,4,5,3,1,2,2,2,1,SPSDetector@(Tcp_Listen#PLAIN#UNIX_NETWORK)/(Major Page Faults#PLAIN#CENTOS)|SPSDetector@(Tcp_Listen#DIFFERENCE#UNIX_NETWORK)/(Major Page Faults#DIFFERENCE#CENTOS)|SPSDetector@Tcp_Listen|SPSDetector@Tcp_Listen|SPSDetector@(Tcp_Listen#PLAIN#UNIX_NETWORK)/(Major Page Faults#PLAIN#CENTOS)|HistoricalIndicatorChecker@CPU I/O Wait Processes|SPSDetector@(Tcp_Syn#PLAIN#UNIX_NETWORK)/(Buffers#PLAIN#CENTOS)|SPSDetector@Tcp_Syn|HistoricalIndicatorChecker@ProcessCpuLoad|ConfidenceIntervalChecker@ProcessCpuLoad|ConfidenceIntervalChecker@ProcessCpuLoad|HistoricalIndicatorChecker@ProcessCpuLoad|SPSDetector@Active Files|SPSDetector@PageOut|HistoricalIndicatorChecker@CPU Interrupts|SPSDetector@(PageIn#PLAIN#CENTOS)/(PageOut#PLAIN#CENTOS)|SPSDetector@(PageIn#DIFFERENCE#CENTOS)/(PageOut#DIFFERENCE#CENTOS)|HistoricalIndicatorChecker@Inactive Memory|HistoricalIndicatorChecker@Inactive Files|ConfidenceIntervalChecker@Inactive Memory|ConfidenceIntervalChecker@Inactive Files|SPSDetector@(Inactive Memory#PLAIN#CENTOS)/(Cached Memory#PLAIN#CENTOS)|SPSDetector@(Inactive Memory#DIFFERENCE#CENTOS)/(Cached Memory#DIFFERENCE#CENTOS)|HistoricalIndicatorChecker@Cached Memory|ConfidenceIntervalChecker@Cached Memory|SPSDetector@(Active Files#PLAIN#CENTOS)/(Inactive Files#PLAIN#CENTOS)|SPSDetector@(Active Files#DIFFERENCE#CENTOS)/(Inactive Files#DIFFERENCE#CENTOS)|SPSDetector@(Inactive Files#PLAIN#CENTOS)/(Deactivated Virtual Pages#PLAIN#CENTOS)|SPSDetector@(Inactive Files#DIFFERENCE#CENTOS)/(Deactivated Virtual Pages#DIFFERENCE#CENTOS)|SPSDetector@Inactive Memory|WesternElectricRulesChecker@SystemCpuLoad|SPSDetector@SystemCpuLoad|ippoz.multilayer.detector.algorithm.PearsonIndexChecker@7f4463d8|ippoz.multilayer.detector.algorithm.PearsonIndexChecker@205504c1|ippoz.multilayer.detector.algorithm.PearsonIndexChecker@98aa316|ippoz.multilayer.detector.algorithm.PearsonIndexChecker@69cb3dcb|ConfidenceIntervalChecker@CPU I/O Wait Processes|SPSDetector@Free Virtual Pages|ConfidenceIntervalChecker@(CPU Idle Processes#PLAIN#CENTOS)/(CPU Interrupts#PLAIN#CENTOS)|SPSDetector@ProcessCpuTime|ConfidenceIntervalChecker@Tcp_Close|
4.0,40,4,10,1,8,5,4,1,1,1,2,2,1,SPSDetector@(Tcp_Listen#PLAIN#UNIX_NETWORK)/(Major Page Faults#PLAIN#CENTOS)|SPSDetector@(Tcp_Listen#DIFFERENCE#UNIX_NETWORK)/(Major Page Faults#DIFFERENCE#CENTOS)|SPSDetector@Tcp_Listen|HistoricalIndicatorChecker@ProcessCpuLoad|ConfidenceIntervalChecker@ProcessCpuLoad|SPSDetector@Activated Virtual Pages|ConfidenceIntervalChecker@ProcessCpuLoad|SPSDetector@Buffers|HistoricalIndicatorChecker@ProcessCpuLoad|SPSDetector@Active Files|HistoricalIndicatorChecker@CPU Interrupts|SPSDetector@(CurrentThreadCpuTime#DIFFERENCE#JVM)/(CurrentThreadUserTime#DIFFERENCE#JVM)|SPSDetector@(CurrentThreadCpuTime#PLAIN#JVM)/(CurrentThreadUserTime#PLAIN#JVM)|HistoricalIndicatorChecker@Inactive Memory|HistoricalIndicatorChecker@Inactive Files|SPSDetector@Cached Memory|ConfidenceIntervalChecker@Inactive Memory|ConfidenceIntervalChecker@Inactive Files|SPSDetector@(Inactive Memory#PLAIN#CENTOS)/(Cached Memory#PLAIN#CENTOS)|SPSDetector@(Inactive Memory#DIFFERENCE#CENTOS)/(Cached Memory#DIFFERENCE#CENTOS)|HistoricalIndicatorChecker@Cached Memory|ConfidenceIntervalChecker@Cached Memory|SPSDetector@Inactive Files|SPSDetector@(Active Files#PLAIN#CENTOS)/(Inactive Files#PLAIN#CENTOS)|SPSDetector@(Active Files#DIFFERENCE#CENTOS)/(Inactive Files#DIFFERENCE#CENTOS)|SPSDetector@(Inactive Files#PLAIN#CENTOS)/(Deactivated Virtual Pages#PLAIN#CENTOS)|SPSDetector@(Inactive Files#DIFFERENCE#CENTOS)/(Deactivated Virtual Pages#DIFFERENCE#CENTOS)|SPSDetector@Inactive Memory|SPSDetector@CPU I/O Wait Processes|WesternElectricRulesChecker@SystemCpuLoad|ConfidenceIntervalChecker@CPU Kernel Processes|ippoz.multilayer.detector.algorithm.PearsonIndexChecker@7f4463d8|ippoz.multilayer.detector.algorithm.PearsonIndexChecker@205504c1|ippoz.multilayer.detector.algorithm.PearsonIndexChecker@98aa316|ippoz.multilayer.detector.algorithm.PearsonIndexChecker@69cb3dcb|ConfidenceIntervalChecker@CPU I/O Wait Processes|SPSDetector@Free Virtual Pages|ConfidenceIntervalChecker@(CPU Idle Processes#PLAIN#CENTOS)/(CPU Interrupts#PLAIN#CENTOS)|SPSDetector@ProcessCpuTime|ConfidenceIntervalChecker@Tcp_Close|
5.0,35,4,12,1,9,0,1,2,1,4,0,0,1,SPSDetector@Tcp_Listen|SPSDetector@(Tcp_Listen#PLAIN#UNIX_NETWORK)/(Major Page Faults#PLAIN#CENTOS)|SPSDetector@(Tcp_Syn#PLAIN#UNIX_NETWORK)/(Buffers#PLAIN#CENTOS)|SPSDetector@Tcp_Syn|SPSDetector@Activated Virtual Pages|SPSDetector@Buffers|SPSDetector@Active Files|SPSDetector@CPU Kernel Processes|SPSDetector@CommittedVirtualMemorySize|SPSDetector@(CurrentThreadCpuTime#DIFFERENCE#JVM)/(CurrentThreadUserTime#DIFFERENCE#JVM)|SPSDetector@(CurrentThreadCpuTime#PLAIN#JVM)/(CurrentThreadUserTime#PLAIN#JVM)|SPSDetector@Cached Memory|SPSDetector@(Inactive Memory#PLAIN#CENTOS)/(Cached Memory#PLAIN#CENTOS)|SPSDetector@(Inactive Memory#DIFFERENCE#CENTOS)/(Cached Memory#DIFFERENCE#CENTOS)|SPSDetector@Inactive Files|SPSDetector@(Active Files#PLAIN#CENTOS)/(Inactive Files#PLAIN#CENTOS)|SPSDetector@(Active Files#DIFFERENCE#CENTOS)/(Inactive Files#DIFFERENCE#CENTOS)|SPSDetector@(Inactive Files#PLAIN#CENTOS)/(Deactivated Virtual Pages#PLAIN#CENTOS)|SPSDetector@(Inactive Files#DIFFERENCE#CENTOS)/(Deactivated Virtual Pages#DIFFERENCE#CENTOS)|SPSDetector@Inactive Memory|SPSDetector@CPU I/O Wait Processes|WesternElectricRulesChecker@SystemCpuLoad|HistoricalIndicatorChecker@PageIn|SPSDetector@SystemCpuLoad|ippoz.multilayer.detector.algorithm.PearsonIndexChecker@7f4463d8|ippoz.multilayer.detector.algorithm.PearsonIndexChecker@205504c1|ippoz.multilayer.detector.algorithm.PearsonIndexChecker@98aa316|ippoz.multilayer.detector.algorithm.PearsonIndexChecker@69cb3dcb|SPSDetector@Free Virtual Pages|SPSDetector@SystemCpuLoad|ConfidenceIntervalChecker@(CPU Idle Processes#PLAIN#CENTOS)/(CPU Interrupts#PLAIN#CENTOS)|SPSDetector@ProcessCpuTime|ConfidenceIntervalChecker@Tcp_Close|SPSDetector@(Active Memory#PLAIN#CENTOS)/(Cached Memory#PLAIN#CENTOS)|SPSDetector@(Active Memory#DIFFERENCE#CENTOS)/(Cached Memory#DIFFERENCE#CENTOS)|
6.0,35,4,14,1,8,1,1,4,1,1,0,0,0,SPSDetector@(Tcp_Listen#PLAIN#UNIX_NETWORK)/(Major Page Faults#PLAIN#CENTOS)|SPSDetector@(Tcp_Listen#DIFFERENCE#UNIX_NETWORK)/(Major Page Faults#DIFFERENCE#CENTOS)|SPSDetector@Tcp_Listen|SPSDetector@Tcp_Listen|SPSDetector@(Tcp_Listen#PLAIN#UNIX_NETWORK)/(Major Page Faults#PLAIN#CENTOS)|SPSDetector@(Tcp_Syn#PLAIN#UNIX_NETWORK)/(Buffers#PLAIN#CENTOS)|SPSDetector@(Tcp_Syn#DIFFERENCE#UNIX_NETWORK)/(Buffers#DIFFERENCE#CENTOS)|SPSDetector@Tcp_Syn|SPSDetector@(Tcp_Syn#PLAIN#UNIX_NETWORK)/(Buffers#PLAIN#CENTOS)|SPSDetector@Tcp_Syn|SPSDetector@Activated Virtual Pages|SPSDetector@Active Files|SPSDetector@CPU Kernel Processes|SPSDetector@CommittedVirtualMemorySize|SPSDetector@Cached Memory|SPSDetector@(Inactive Memory#PLAIN#CENTOS)/(Cached Memory#PLAIN#CENTOS)|SPSDetector@(Inactive Memory#DIFFERENCE#CENTOS)/(Cached Memory#DIFFERENCE#CENTOS)|SPSDetector@Inactive Files|SPSDetector@(Active Files#PLAIN#CENTOS)/(Inactive Files#PLAIN#CENTOS)|SPSDetector@(Active Files#DIFFERENCE#CENTOS)/(Inactive Files#DIFFERENCE#CENTOS)|SPSDetector@(Inactive Files#PLAIN#CENTOS)/(Deactivated Virtual Pages#PLAIN#CENTOS)|SPSDetector@(Inactive Files#DIFFERENCE#CENTOS)/(Deactivated Virtual Pages#DIFFERENCE#CENTOS)|SPSDetector@Inactive Memory|SPSDetector@Active Memory|HistoricalIndicatorChecker@PageIn|ConfidenceIntervalChecker@CPU Kernel Processes|ippoz.multilayer.detector.algorithm.PearsonIndexChecker@7f4463d8|ippoz.multilayer.detector.algorithm.PearsonIndexChecker@205504c1|ippoz.multilayer.detector.algorithm.PearsonIndexChecker@98aa316|ippoz.multilayer.detector.algorithm.PearsonIndexChecker@69cb3dcb|SPSDetector@Free Virtual Pages|ConfidenceIntervalChecker@(CPU Idle Processes#PLAIN#CENTOS)/(CPU Interrupts#PLAIN#CENTOS)|ConfidenceIntervalChecker@Tcp_Close|SPSDetector@(Active Memory#PLAIN#CENTOS)/(Cached Memory#PLAIN#CENTOS)|SPSDetector@(Active Memory#DIFFERENCE#CENTOS)/(Cached Memory#DIFFERENCE#CENTOS)|
7.0,30,4,12,1,10,0,1,1,1,0,0,0,0,SPSDetector@(Tcp_Listen#PLAIN#UNIX_NETWORK)/(Major Page Faults#PLAIN#CENTOS)|SPSDetector@(Tcp_Listen#DIFFERENCE#UNIX_NETWORK)/(Major Page Faults#DIFFERENCE#CENTOS)|SPSDetector@Tcp_Listen|SPSDetector@Activated Virtual Pages|SPSDetector@Active Files|SPSDetector@CPU Kernel Processes|SPSDetector@PageOut|SPSDetector@(PageIn#PLAIN#CENTOS)/(PageOut#PLAIN#CENTOS)|SPSDetector@(PageIn#DIFFERENCE#CENTOS)/(PageOut#DIFFERENCE#CENTOS)|SPSDetector@Cached Memory|SPSDetector@(Inactive Memory#PLAIN#CENTOS)/(Cached Memory#PLAIN#CENTOS)|SPSDetector@(Inactive Memory#DIFFERENCE#CENTOS)/(Cached Memory#DIFFERENCE#CENTOS)|SPSDetector@Inactive Files|SPSDetector@(Active Files#PLAIN#CENTOS)/(Inactive Files#PLAIN#CENTOS)|SPSDetector@(Active Files#DIFFERENCE#CENTOS)/(Inactive Files#DIFFERENCE#CENTOS)|SPSDetector@(Inactive Files#PLAIN#CENTOS)/(Deactivated Virtual Pages#PLAIN#CENTOS)|SPSDetector@(Inactive Files#DIFFERENCE#CENTOS)/(Deactivated Virtual Pages#DIFFERENCE#CENTOS)|SPSDetector@Inactive Memory|SPSDetector@Active Memory|HistoricalIndicatorChecker@PageIn|ippoz.multilayer.detector.algorithm.PearsonIndexChecker@7f4463d8|ippoz.multilayer.detector.algorithm.PearsonIndexChecker@205504c1|ippoz.multilayer.detector.algorithm.PearsonIndexChecker@98aa316|ippoz.multilayer.detector.algorithm.PearsonIndexChecker@69cb3dcb|SPSDetector@Free Virtual Pages|ConfidenceIntervalChecker@(CPU Idle Processes#PLAIN#CENTOS)/(CPU Interrupts#PLAIN#CENTOS)|ConfidenceIntervalChecker@Tcp_Close|SPSDetector@Minor Page Faults|SPSDetector@(Active Memory#PLAIN#CENTOS)/(Cached Memory#PLAIN#CENTOS)|SPSDetector@(Active Memory#DIFFERENCE#CENTOS)/(Cached Memory#DIFFERENCE#CENTOS)|
8.0,18,4,6,1,3,0,2,0,1,1,0,0,0,SPSDetector@CurrentThreadUserTime|SPSDetector@PageOut|HistoricalIndicatorChecker@CPU Interrupts|SPSDetector@(CurrentThreadCpuTime#DIFFERENCE#JVM)/(CurrentThreadUserTime#DIFFERENCE#JVM)|SPSDetector@(CurrentThreadCpuTime#PLAIN#JVM)/(CurrentThreadUserTime#PLAIN#JVM)|SPSDetector@(PageIn#PLAIN#CENTOS)/(PageOut#PLAIN#CENTOS)|SPSDetector@(PageIn#DIFFERENCE#CENTOS)/(PageOut#DIFFERENCE#CENTOS)|SPSDetector@Active Memory|HistoricalIndicatorChecker@PageIn|ippoz.multilayer.detector.algorithm.PearsonIndexChecker@7f4463d8|ippoz.multilayer.detector.algorithm.PearsonIndexChecker@205504c1|ippoz.multilayer.detector.algorithm.PearsonIndexChecker@98aa316|ippoz.multilayer.detector.algorithm.PearsonIndexChecker@69cb3dcb|ConfidenceIntervalChecker@(CPU Idle Processes#PLAIN#CENTOS)/(CPU Interrupts#PLAIN#CENTOS)|ConfidenceIntervalChecker@Tcp_Close|SPSDetector@Minor Page Faults|SPSDetector@(Active Memory#PLAIN#CENTOS)/(Cached Memory#PLAIN#CENTOS)|SPSDetector@(Active Memory#DIFFERENCE#CENTOS)/(Cached Memory#DIFFERENCE#CENTOS)|
9.0,20,4,6,1,5,1,1,0,1,1,0,0,0,SPSDetector@Active Files|SPSDetector@CurrentThreadUserTime|SPSDetector@PageOut|SPSDetector@(CurrentThreadCpuTime#DIFFERENCE#JVM)/(CurrentThreadUserTime#DIFFERENCE#JVM)|SPSDetector@(CurrentThreadCpuTime#PLAIN#JVM)/(CurrentThreadUserTime#PLAIN#JVM)|SPSDetector@(PageIn#PLAIN#CENTOS)/(PageOut#PLAIN#CENTOS)|SPSDetector@(PageIn#DIFFERENCE#CENTOS)/(PageOut#DIFFERENCE#CENTOS)|SPSDetector@(Inactive Files#PLAIN#CENTOS)/(Deactivated Virtual Pages#PLAIN#CENTOS)|SPSDetector@(Inactive Files#DIFFERENCE#CENTOS)/(Deactivated Virtual Pages#DIFFERENCE#CENTOS)|SPSDetector@Inactive Memory|SPSDetector@CPU I/O Wait Processes|HistoricalIndicatorChecker@PageIn|ippoz.multilayer.detector.algorithm.PearsonIndexChecker@7f4463d8|ippoz.multilayer.detector.algorithm.PearsonIndexChecker@205504c1|ippoz.multilayer.detector.algorithm.PearsonIndexChecker@98aa316|ippoz.multilayer.detector.algorithm.PearsonIndexChecker@69cb3dcb|ConfidenceIntervalChecker@CPU I/O Wait Processes|SPSDetector@Free Virtual Pages|ConfidenceIntervalChecker@(CPU Idle Processes#PLAIN#CENTOS)/(CPU Interrupts#PLAIN#CENTOS)|ConfidenceIntervalChecker@Tcp_Close|
