timestamp,anomaly_alerts,CENTOS@ALG,CENTOS@HIST,UNIX_NETWORK@ALG,UNIX_NETWORK@HIST,JVM@ALG,JVM@HIST,remote_call_checker,details
0.0,0,0,0,0,0,0,0,0,
1.0,10,3,1,4,0,2,0,0,HistoricalIndicatorChecker@CPU Interrupts|SPSDetector@TotalLoadedClassCount|SPSDetector@Tcp_Syn|SPSDetector@Tcp_Listen|SPSDetector@Tcp_Listen|SPSDetector@Tcp_Syn|SPSDetector@Activated Virtual Pages|SPSDetector@CPU Idle Processes|SPSDetector@LoadedClassCount|SPSDetector@CPU User Processes|
2.0,9,3,0,4,0,2,0,0,SPSDetector@TotalLoadedClassCount|SPSDetector@Tcp_Syn|SPSDetector@Tcp_Listen|SPSDetector@Tcp_Listen|SPSDetector@Tcp_Syn|SPSDetector@Activated Virtual Pages|SPSDetector@CPU Idle Processes|SPSDetector@LoadedClassCount|SPSDetector@CPU User Processes|
3.0,6,0,1,2,0,0,2,1,RemoteCallChecker|HistoricalIndicatorChecker@CPU Interrupts|SPSDetector@Tcp_Syn|HistoricalIndicatorChecker@ProcessCpuLoad|SPSDetector@Tcp_Listen|HistoricalIndicatorChecker@ProcessCpuLoad|
4.0,5,1,0,2,0,0,2,0,HistoricalIndicatorChecker@ProcessCpuLoad|SPSDetector@Tcp_Listen|SPSDetector@Tcp_Listen|SPSDetector@Activated Virtual Pages|HistoricalIndicatorChecker@ProcessCpuLoad|
5.0,7,3,1,2,0,1,0,0,HistoricalIndicatorChecker@CPU Interrupts|SPSDetector@Tcp_Listen|SPSDetector@Tcp_Listen|SPSDetector@SystemCpuLoad|SPSDetector@Activated Virtual Pages|SPSDetector@CPU Idle Processes|SPSDetector@CPU User Processes|
6.0,4,1,1,2,0,0,0,0,HistoricalIndicatorChecker@CPU Interrupts|SPSDetector@Tcp_Listen|SPSDetector@Tcp_Listen|SPSDetector@Activated Virtual Pages|
7.0,2,1,1,0,0,0,0,0,HistoricalIndicatorChecker@CPU Interrupts|SPSDetector@Activated Virtual Pages|
8.0,0,0,0,0,0,0,0,0,
9.0,5,1,0,4,0,0,0,0,SPSDetector@Tcp_Syn|SPSDetector@Tcp_Listen|SPSDetector@Tcp_Listen|SPSDetector@Tcp_Syn|SPSDetector@Activated Virtual Pages|
10.0,6,1,1,4,0,0,0,0,HistoricalIndicatorChecker@CPU Interrupts|SPSDetector@Tcp_Syn|SPSDetector@Tcp_Listen|SPSDetector@Tcp_Listen|SPSDetector@Tcp_Syn|SPSDetector@CPU User Processes|
11.0,1,0,0,1,0,0,0,0,SPSDetector@Tcp_Syn|
12.0,2,2,0,0,0,0,0,0,SPSDetector@CPU Idle Processes|SPSDetector@CPU User Processes|
13.0,3,2,0,1,0,0,0,0,SPSDetector@Tcp_Listen|SPSDetector@CPU Idle Processes|SPSDetector@CPU User Processes|
14.0,6,0,0,0,0,4,2,0,SPSDetector@LoadedClassCount|SPSDetector@TotalLoadedClassCount|SPSDetector@TotalLoadedClassCount|HistoricalIndicatorChecker@ProcessCpuLoad|HistoricalIndicatorChecker@ProcessCpuLoad|SPSDetector@LoadedClassCount|
15.0,3,0,0,0,0,3,0,0,SPSDetector@TotalLoadedClassCount|SPSDetector@NonHeapMemoryUsage.used|SPSDetector@LoadedClassCount|
16.0,4,0,1,0,0,0,2,1,RemoteCallChecker|HistoricalIndicatorChecker@CPU Interrupts|HistoricalIndicatorChecker@ProcessCpuLoad|HistoricalIndicatorChecker@ProcessCpuLoad|
17.0,0,0,0,0,0,0,0,0,
18.0,1,0,1,0,0,0,0,0,HistoricalIndicatorChecker@CPU Interrupts|
19.0,0,0,0,0,0,0,0,0,
20.0,3,1,1,0,0,0,0,1,SPSDetector@PageOut|RemoteCallChecker|HistoricalIndicatorChecker@CPU Interrupts|
21.0,0,0,0,0,0,0,0,0,
22.0,5,0,1,2,0,0,2,0,HistoricalIndicatorChecker@CPU Interrupts|HistoricalIndicatorChecker@SystemCpuLoad|SPSDetector@Tcp_Listen|SPSDetector@Tcp_Listen|HistoricalIndicatorChecker@SystemCpuLoad|
23.0,8,3,0,2,0,0,2,1,RemoteCallChecker|HistoricalIndicatorChecker@ProcessCpuLoad|SPSDetector@Tcp_Listen|SPSDetector@Tcp_Listen|SPSDetector@Inactive Memory|HistoricalIndicatorChecker@ProcessCpuLoad|SPSDetector@Inactive Files|SPSDetector@Cached Memory|
24.0,1,1,0,0,0,0,0,0,SPSDetector@Activated Virtual Pages|
25.0,4,0,0,0,0,0,4,0,HistoricalIndicatorChecker@SystemCpuLoad|HistoricalIndicatorChecker@ProcessCpuLoad|HistoricalIndicatorChecker@SystemCpuLoad|HistoricalIndicatorChecker@ProcessCpuLoad|
26.0,26,13,2,4,0,3,4,0,SPSDetector@Activated Virtual Pages|SPSDetector@Active Files|SPSDetector@FreePhysicalMemorySize|HistoricalIndicatorChecker@CPU Interrupts|SPSDetector@Tcp_Syn|HistoricalIndicatorChecker@SystemCpuLoad|HistoricalIndicatorChecker@ProcessCpuLoad|SPSDetector@Tcp_Listen|SPSDetector@Buffers|SPSDetector@Tcp_Listen|SPSDetector@SystemCpuLoad|SPSDetector@NonHeapMemoryUsage.used|SPSDetector@Tcp_Syn|SPSDetector@Activated Virtual Pages|SPSDetector@CPU Kernel Processes|SPSDetector@Buffers|SPSDetector@CPU Idle Processes|SPSDetector@Inactive Memory|HistoricalIndicatorChecker@SystemCpuLoad|HistoricalIndicatorChecker@ProcessCpuLoad|SPSDetector@Inactive Files|HistoricalIndicatorChecker@Buffers|SPSDetector@Free Memory|SPSDetector@Cached Memory|SPSDetector@CPU User Processes|SPSDetector@CPU User Processes|
