timestamp,anomaly_alerts,CENTOS@ALG,CENTOS@HIST,UNIX_NETWORK@ALG,UNIX_NETWORK@HIST,JVM@ALG,JVM@HIST,remote_call_checker,details
0.0,0,0,0,0,0,0,0,0,
1.0,1,0,0,1,0,0,0,0,SPSDetector@Tcp_Listen|
2.0,1,0,0,1,0,0,0,0,SPSDetector@Tcp_Listen|
3.0,1,0,0,0,0,0,0,1,RemoteCallChecker|
4.0,1,0,0,1,0,0,0,0,SPSDetector@Tcp_Listen|
5.0,1,0,0,1,0,0,0,0,SPSDetector@Tcp_Listen|
6.0,1,0,0,1,0,0,0,0,SPSDetector@Tcp_Listen|
7.0,0,0,0,0,0,0,0,0,
8.0,0,0,0,0,0,0,0,0,
9.0,1,0,0,1,0,0,0,0,SPSDetector@Tcp_Listen|
10.0,1,0,0,1,0,0,0,0,SPSDetector@Tcp_Listen|
11.0,0,0,0,0,0,0,0,0,
12.0,0,0,0,0,0,0,0,0,
13.0,0,0,0,0,0,0,0,0,
14.0,0,0,0,0,0,0,0,0,
15.0,0,0,0,0,0,0,0,0,
16.0,1,0,0,0,0,0,0,1,RemoteCallChecker|
17.0,0,0,0,0,0,0,0,0,
18.0,0,0,0,0,0,0,0,0,
19.0,0,0,0,0,0,0,0,0,
20.0,1,0,0,0,0,0,0,1,RemoteCallChecker|
21.0,0,0,0,0,0,0,0,0,
22.0,3,0,0,1,0,0,2,0,SPSDetector@Tcp_Listen|HistoricalIndicatorChecker@SystemCpuLoad|HistoricalIndicatorChecker@SystemCpuLoad|
23.0,2,0,0,1,0,0,0,1,SPSDetector@Tcp_Listen|RemoteCallChecker|
24.0,0,0,0,0,0,0,0,0,
25.0,2,0,0,0,0,0,2,0,HistoricalIndicatorChecker@SystemCpuLoad|HistoricalIndicatorChecker@SystemCpuLoad|
26.0,7,3,1,1,0,0,2,0,SPSDetector@Buffers|SPSDetector@Activated Virtual Pages|SPSDetector@Tcp_Listen|HistoricalIndicatorChecker@Buffers|SPSDetector@Active Files|HistoricalIndicatorChecker@SystemCpuLoad|HistoricalIndicatorChecker@SystemCpuLoad|
27.0,7,2,0,1,0,0,3,1,SPSDetector@Activated Virtual Pages|SPSDetector@Tcp_Listen|SPSDetector@Active Files|RemoteCallChecker|HistoricalIndicatorChecker@SystemCpuLoad|HistoricalIndicatorChecker@CommittedVirtualMemorySize|HistoricalIndicatorChecker@SystemCpuLoad|
28.0,0,0,0,0,0,0,0,0,
29.0,2,0,0,0,0,0,2,0,HistoricalIndicatorChecker@SystemCpuLoad|HistoricalIndicatorChecker@SystemCpuLoad|
30.0,2,0,0,0,0,0,2,0,HistoricalIndicatorChecker@SystemCpuLoad|HistoricalIndicatorChecker@SystemCpuLoad|
31.0,3,1,0,0,0,0,2,0,SPSDetector@Active Files|HistoricalIndicatorChecker@SystemCpuLoad|HistoricalIndicatorChecker@SystemCpuLoad|
32.0,3,2,0,0,0,0,0,1,SPSDetector@Buffers|SPSDetector@Activated Virtual Pages|RemoteCallChecker|
33.0,0,0,0,0,0,0,0,0,
34.0,0,0,0,0,0,0,0,0,
35.0,1,0,0,0,0,0,0,1,RemoteCallChecker|
36.0,1,0,0,0,0,0,1,0,HistoricalIndicatorChecker@SystemCpuLoad|
37.0,0,0,0,0,0,0,0,0,
38.0,1,1,0,0,0,0,0,0,SPSDetector@Active Files|
39.0,2,2,0,0,0,0,0,0,SPSDetector@Activated Virtual Pages|SPSDetector@Active Files|
40.0,2,2,0,0,0,0,0,0,SPSDetector@Activated Virtual Pages|SPSDetector@Active Files|
41.0,2,2,0,0,0,0,0,0,SPSDetector@Activated Virtual Pages|SPSDetector@Active Files|
42.0,0,0,0,0,0,0,0,0,
43.0,2,2,0,0,0,0,0,0,SPSDetector@Activated Virtual Pages|SPSDetector@Active Files|
44.0,0,0,0,0,0,0,0,0,
45.0,2,2,0,0,0,0,0,0,SPSDetector@Activated Virtual Pages|SPSDetector@Active Files|
46.0,2,2,0,0,0,0,0,0,SPSDetector@Activated Virtual Pages|SPSDetector@Active Files|
47.0,0,0,0,0,0,0,0,0,
48.0,0,0,0,0,0,0,0,0,
49.0,0,0,0,0,0,0,0,0,
50.0,0,0,0,0,0,0,0,0,
51.0,0,0,0,0,0,0,0,0,
52.0,0,0,0,0,0,0,0,0,
53.0,0,0,0,0,0,0,0,0,
54.0,0,0,0,0,0,0,0,0,
55.0,1,0,0,1,0,0,0,0,SPSDetector@Tcp_Listen|
56.0,1,0,0,1,0,0,0,0,SPSDetector@Tcp_Listen|
57.0,0,0,0,0,0,0,0,0,
58.0,1,1,0,0,0,0,0,0,SPSDetector@Activated Virtual Pages|
59.0,0,0,0,0,0,0,0,0,
60.0,1,1,0,0,0,0,0,0,SPSDetector@Activated Virtual Pages|
61.0,4,3,0,0,0,0,0,1,SPSDetector@Buffers|SPSDetector@Activated Virtual Pages|SPSDetector@Active Files|RemoteCallChecker|
62.0,0,0,0,0,0,0,0,0,
63.0,0,0,0,0,0,0,0,0,
64.0,0,0,0,0,0,0,0,0,
