voter,anomaly,True Positives,True Negatives,False Positives,False Negatives,Precision,Recall,FScore(0.5),F-Measure,FScore(2.0),
0.1,HALF,0.012696766741290904,0.9575382800784733,0.0279618190997045,0.0018031340805313408,0.35624999999999996,0.875,0.3972653163829635,0.48750000000000004,0.6515376984126984,
0.1,5,0.014499900821822245,0.08957682154426122,0.8959232776339167,0.0,0.015938342286046712,1.0,0.019843528860091587,0.03137455956434077,0.07489789563983477,
0.1,10,0.014499900821822245,0.20119947283197154,0.7843006263462062,0.0,0.018159495502311426,1.0,0.02259643603401099,0.03566908914843936,0.08463057692368434,
0.1,15,0.014499900821822245,0.3452203666442085,0.6402797325339692,0.0,0.022212562653828056,1.0,0.027611354504988958,0.043453603596961085,0.10194919480015932,
0.1,20,0.014499900821822245,0.5047614193526314,0.48073867982554636,0.0,0.029482983279723162,1.0,0.03658153792916882,0.05726203455849685,0.13174497923059714,
0.2,HALF,0.013643736438260601,0.968479824916268,0.017020274261909597,8.561643835616438E-4,0.515625,0.9375,0.5557755153343388,0.6395833333333333,0.7771577380952381,
0.2,5,0.014499900821822245,0.5502780456979005,0.43522205348027726,0.0,0.032377230947870095,1.0,0.04014381699177731,0.06270723550906188,0.14320053929187054,
0.2,10,0.014499900821822245,0.7459752422285636,0.23952485694961428,0.0,0.05831114592966373,1.0,0.0718076050302142,0.11000697931034281,0.23525811685136627,
0.2,15,0.014499900821822245,0.944978931526643,0.04052116765153475,0.0,0.28229166666666666,1.0,0.3280076133017309,0.43452380952380953,0.6506696428571428,
0.2,20,0.013643736438260601,0.9693989425633269,0.016101156614850773,8.561643835616438E-4,0.5208333333333333,0.9375,0.5614316239316238,0.6458333333333333,0.7827380952380952,
0.3,HALF,0.014499900821822245,0.9622758664135276,0.02322423276465013,0.0,0.4479166666666666,1.0,0.49296128707893416,0.5916666666666667,0.7686011904761905,
0.3,5,0.014499900821822245,0.792071416113386,0.19342868306479172,0.0,0.07158692002442,1.0,0.08786840078185217,0.1333795058785384,0.27693221327606,
0.3,10,0.013643736438260601,0.9703459122602967,0.015154186917881077,8.561643835616438E-4,0.5520833333333333,0.9375,0.5892094017094016,0.6666666666666666,0.7931547619047619,
0.3,15,0.006242982713391302,0.9820017347423134,0.0034983644358644356,0.00825691810843094,0.375,0.4375,0.3819444444444444,0.3958333333333333,0.4166666666666667,
