timestamp,anomaly_alerts,CENTOS@HIST,CENTOS@SPS,COMPOSITION@SPS,JVM@HIST,JVM@SPS,UNIX_NETWORK@SPS,details
0.0,0,0,0,0,0,0,0,
1.0,3,0,0,0,0,1,2,SPSDetector@Tcp_Listen|SPSDetector@Tcp_Listen|SPSDetector@ProcessCpuLoad|
2.0,2,0,0,0,0,1,1,SPSDetector@Tcp_Listen|SPSDetector@ProcessCpuLoad|
3.0,3,1,0,0,0,0,2,SPSDetector@Tcp_Listen|SPSDetector@Tcp_Listen|HistoricalIndicatorChecker@CPU I/O Wait Processes|
4.0,1,0,0,0,0,0,1,SPSDetector@Tcp_Listen|
5.0,1,0,0,0,0,0,1,SPSDetector@Tcp_Listen|
6.0,2,0,0,0,0,0,2,SPSDetector@Tcp_Listen|SPSDetector@Tcp_Listen|
7.0,1,0,0,0,0,0,1,SPSDetector@Tcp_Listen|
8.0,0,0,0,0,0,0,0,
9.0,0,0,0,0,0,0,0,
10.0,0,0,0,0,0,0,0,
11.0,0,0,0,0,0,0,0,
12.0,0,0,0,0,0,0,0,
13.0,2,0,0,0,0,0,2,SPSDetector@Tcp_Listen|SPSDetector@Tcp_Listen|
14.0,2,0,0,0,0,0,2,SPSDetector@Tcp_Listen|SPSDetector@Tcp_Listen|
15.0,1,0,0,0,0,0,1,SPSDetector@Tcp_Listen|
16.0,1,0,0,0,0,0,1,SPSDetector@Tcp_Listen|
17.0,2,0,0,0,0,0,2,SPSDetector@Tcp_Listen|SPSDetector@Tcp_Listen|
18.0,1,1,0,0,0,0,0,HistoricalIndicatorChecker@CPU I/O Wait Processes|
19.0,0,0,0,0,0,0,0,
20.0,0,0,0,0,0,0,0,
21.0,1,0,0,0,0,0,1,SPSDetector@Tcp_Listen|
22.0,0,0,0,0,0,0,0,
23.0,0,0,0,0,0,0,0,
24.0,0,0,0,0,0,0,0,
25.0,0,0,0,0,0,0,0,
26.0,1,0,0,0,0,0,1,SPSDetector@Tcp_Listen|
27.0,0,0,0,0,0,0,0,
28.0,1,0,0,0,1,0,0,HistoricalIndicatorChecker@SystemCpuLoad|
29.0,0,0,0,0,0,0,0,
30.0,0,0,0,0,0,0,0,
31.0,1,0,0,0,1,0,0,HistoricalIndicatorChecker@SystemCpuLoad|
32.0,3,1,0,0,1,1,0,SPSDetector@ProcessCpuLoad|HistoricalIndicatorChecker@SystemCpuLoad|HistoricalIndicatorChecker@CPU I/O Wait Processes|
33.0,21,1,6,10,1,1,2,SPSDetector@PageIn|SPSDetector@(CPU Niced Processes#PLAIN#CENTOS)/(PageIn#PLAIN#CENTOS)|SPSDetector@PageIn|SPSDetector@(CPU Niced Processes#PLAIN#CENTOS)/(PageIn#PLAIN#CENTOS)|SPSDetector@(CPU Niced Processes#PLAIN#CENTOS)/(PageIn#DIFFERENCE#CENTOS)|SPSDetector@(CPU Niced Processes#DIFFERENCE#CENTOS)/(PageIn#PLAIN#CENTOS)|SPSDetector@(CPU Niced Processes#DIFFERENCE#CENTOS)/(PageIn#DIFFERENCE#CENTOS)|SPSDetector@Tcp_Listen|SPSDetector@Tcp_Listen|SPSDetector@Buffers|SPSDetector@(CPU Niced Processes#PLAIN#CENTOS)/(Buffers#PLAIN#CENTOS)|SPSDetector@Activated Virtual Pages|SPSDetector@(CPU Niced Processes#PLAIN#CENTOS)/(Activated Virtual Pages#PLAIN#CENTOS)|SPSDetector@ProcessCpuLoad|SPSDetector@(CPU Niced Processes#PLAIN#CENTOS)/(CPU User Processes#PLAIN#CENTOS)|SPSDetector@(CPU Niced Processes#PLAIN#CENTOS)/(Cached Memory#PLAIN#CENTOS)|SPSDetector@Cached Memory|HistoricalIndicatorChecker@SystemCpuLoad|SPSDetector@PageOut|SPSDetector@(CPU Niced Processes#PLAIN#CENTOS)/(PageOut#PLAIN#CENTOS)|HistoricalIndicatorChecker@CPU I/O Wait Processes|
34.0,13,1,3,6,0,1,2,SPSDetector@PageIn|SPSDetector@(CPU Niced Processes#PLAIN#CENTOS)/(PageIn#PLAIN#CENTOS)|SPSDetector@(CPU Niced Processes#PLAIN#CENTOS)/(PageIn#DIFFERENCE#CENTOS)|SPSDetector@(CPU Niced Processes#DIFFERENCE#CENTOS)/(PageIn#PLAIN#CENTOS)|SPSDetector@(CPU Niced Processes#DIFFERENCE#CENTOS)/(PageIn#DIFFERENCE#CENTOS)|SPSDetector@Tcp_Listen|SPSDetector@Tcp_Listen|SPSDetector@ProcessCpuLoad|SPSDetector@CPU User Processes|SPSDetector@(CPU Niced Processes#PLAIN#CENTOS)/(CPU User Processes#PLAIN#CENTOS)|SPSDetector@(CPU Niced Processes#PLAIN#CENTOS)/(Cached Memory#PLAIN#CENTOS)|SPSDetector@Cached Memory|HistoricalIndicatorChecker@CPU I/O Wait Processes|
35.0,9,0,4,4,0,0,1,SPSDetector@Tcp_Listen|SPSDetector@Buffers|SPSDetector@(CPU Niced Processes#PLAIN#CENTOS)/(Buffers#PLAIN#CENTOS)|SPSDetector@Activated Virtual Pages|SPSDetector@(CPU Niced Processes#PLAIN#CENTOS)/(Activated Virtual Pages#PLAIN#CENTOS)|SPSDetector@CPU User Processes|SPSDetector@(CPU Niced Processes#PLAIN#CENTOS)/(CPU User Processes#PLAIN#CENTOS)|SPSDetector@PageOut|SPSDetector@(CPU Niced Processes#PLAIN#CENTOS)/(PageOut#PLAIN#CENTOS)|
36.0,3,0,1,1,1,0,0,SPSDetector@CPU User Processes|SPSDetector@(CPU Niced Processes#PLAIN#CENTOS)/(CPU User Processes#PLAIN#CENTOS)|HistoricalIndicatorChecker@SystemCpuLoad|
37.0,3,0,1,1,1,0,0,SPSDetector@CPU User Processes|SPSDetector@(CPU Niced Processes#PLAIN#CENTOS)/(CPU User Processes#PLAIN#CENTOS)|HistoricalIndicatorChecker@SystemCpuLoad|
38.0,7,0,3,3,1,0,0,SPSDetector@CPU User Processes|SPSDetector@(CPU Niced Processes#PLAIN#CENTOS)/(CPU User Processes#PLAIN#CENTOS)|SPSDetector@(CPU Niced Processes#PLAIN#CENTOS)/(Cached Memory#PLAIN#CENTOS)|SPSDetector@Cached Memory|HistoricalIndicatorChecker@SystemCpuLoad|SPSDetector@PageOut|SPSDetector@(CPU Niced Processes#PLAIN#CENTOS)/(PageOut#PLAIN#CENTOS)|
39.0,3,0,1,1,1,0,0,SPSDetector@CPU User Processes|SPSDetector@(CPU Niced Processes#PLAIN#CENTOS)/(CPU User Processes#PLAIN#CENTOS)|HistoricalIndicatorChecker@SystemCpuLoad|
40.0,4,1,1,1,1,0,0,SPSDetector@Buffers|SPSDetector@(CPU Niced Processes#PLAIN#CENTOS)/(Buffers#PLAIN#CENTOS)|HistoricalIndicatorChecker@SystemCpuLoad|HistoricalIndicatorChecker@CPU I/O Wait Processes|
41.0,0,0,0,0,0,0,0,
42.0,0,0,0,0,0,0,0,
43.0,0,0,0,0,0,0,0,
44.0,0,0,0,0,0,0,0,
45.0,0,0,0,0,0,0,0,
46.0,0,0,0,0,0,0,0,
47.0,4,0,2,2,0,0,0,SPSDetector@Activated Virtual Pages|SPSDetector@(CPU Niced Processes#PLAIN#CENTOS)/(Activated Virtual Pages#PLAIN#CENTOS)|SPSDetector@(CPU Niced Processes#PLAIN#CENTOS)/(Cached Memory#PLAIN#CENTOS)|SPSDetector@Cached Memory|
48.0,4,0,2,2,0,0,0,SPSDetector@Activated Virtual Pages|SPSDetector@(CPU Niced Processes#PLAIN#CENTOS)/(Activated Virtual Pages#PLAIN#CENTOS)|SPSDetector@(CPU Niced Processes#PLAIN#CENTOS)/(Cached Memory#PLAIN#CENTOS)|SPSDetector@Cached Memory|
49.0,4,0,2,2,0,0,0,SPSDetector@Activated Virtual Pages|SPSDetector@(CPU Niced Processes#PLAIN#CENTOS)/(Activated Virtual Pages#PLAIN#CENTOS)|SPSDetector@(CPU Niced Processes#PLAIN#CENTOS)/(Cached Memory#PLAIN#CENTOS)|SPSDetector@Cached Memory|
50.0,6,0,3,3,0,0,0,SPSDetector@Buffers|SPSDetector@(CPU Niced Processes#PLAIN#CENTOS)/(Buffers#PLAIN#CENTOS)|SPSDetector@Activated Virtual Pages|SPSDetector@(CPU Niced Processes#PLAIN#CENTOS)/(Activated Virtual Pages#PLAIN#CENTOS)|SPSDetector@(CPU Niced Processes#PLAIN#CENTOS)/(Cached Memory#PLAIN#CENTOS)|SPSDetector@Cached Memory|
51.0,0,0,0,0,0,0,0,
52.0,4,0,2,2,0,0,0,SPSDetector@Activated Virtual Pages|SPSDetector@(CPU Niced Processes#PLAIN#CENTOS)/(Activated Virtual Pages#PLAIN#CENTOS)|SPSDetector@(CPU Niced Processes#PLAIN#CENTOS)/(Cached Memory#PLAIN#CENTOS)|SPSDetector@Cached Memory|
53.0,0,0,0,0,0,0,0,
