timestamp,anomaly_alerts,UNIX_NETWORK@SPS,JVM@SPS,JVM@HIST,CENTOS@SPS,CENTOS@HIST,COMPOSITION@SPS,details
0.0,0,0,0,0,0,0,0,
1.0,7,2,2,0,2,0,1,SPSDetector@Tcp_Listen|SPSDetector@(Tcp_Listen#DIFFERENCE#UNIX_NETWORK)/(Tcp_Syn#DIFFERENCE#UNIX_NETWORK)|SPSDetector@ProcessCpuLoad|SPSDetector@Tcp_Syn|SPSDetector@Activated Virtual Pages|SPSDetector@Active Files|SPSDetector@CurrentThreadUserTime|
2.0,6,2,1,0,2,0,1,SPSDetector@Tcp_Listen|SPSDetector@(Tcp_Listen#DIFFERENCE#UNIX_NETWORK)/(Tcp_Syn#DIFFERENCE#UNIX_NETWORK)|SPSDetector@ProcessCpuLoad|SPSDetector@Tcp_Syn|SPSDetector@Activated Virtual Pages|SPSDetector@Active Files|
3.0,7,3,1,2,0,1,0,SPSDetector@Tcp_Listen|SPSDetector@Tcp_Listen|HistoricalIndicatorChecker@CPU I/O Wait Processes|SPSDetector@Tcp_Syn|HistoricalIndicatorChecker@ProcessCpuLoad|HistoricalIndicatorChecker@ProcessCpuLoad|SPSDetector@CurrentThreadUserTime|
4.0,9,3,1,2,2,1,0,SPSDetector@Tcp_Listen|SPSDetector@Tcp_Listen|HistoricalIndicatorChecker@CPU I/O Wait Processes|SPSDetector@Tcp_Syn|SPSDetector@Activated Virtual Pages|HistoricalIndicatorChecker@ProcessCpuLoad|HistoricalIndicatorChecker@ProcessCpuLoad|SPSDetector@Active Files|SPSDetector@CurrentThreadUserTime|
5.0,4,3,1,0,0,0,0,SPSDetector@Tcp_Listen|SPSDetector@Tcp_Listen|SPSDetector@Tcp_Syn|SPSDetector@CurrentThreadUserTime|
6.0,2,0,1,0,1,0,0,SPSDetector@Active Files|SPSDetector@CurrentThreadUserTime|
7.0,2,0,0,0,2,0,0,SPSDetector@Activated Virtual Pages|SPSDetector@Active Files|
8.0,3,0,1,0,2,0,0,SPSDetector@Activated Virtual Pages|SPSDetector@Active Files|SPSDetector@CurrentThreadUserTime|
9.0,1,0,0,0,1,0,0,SPSDetector@Buffers|
10.0,2,0,1,0,1,0,0,SPSDetector@Buffers|SPSDetector@CurrentThreadUserTime|
11.0,0,0,0,0,0,0,0,
12.0,1,0,1,0,0,0,0,SPSDetector@CurrentThreadUserTime|
13.0,0,0,0,0,0,0,0,
14.0,1,0,1,0,0,0,0,SPSDetector@CurrentThreadUserTime|
15.0,6,4,2,0,0,0,0,SPSDetector@Tcp_Listen|SPSDetector@Tcp_Listen|SPSDetector@Tcp_Syn|SPSDetector@Tcp_Syn|SPSDetector@CommittedVirtualMemorySize|SPSDetector@CurrentThreadUserTime|
16.0,6,4,1,0,0,0,1,SPSDetector@Tcp_Listen|SPSDetector@Tcp_Listen|SPSDetector@(Tcp_Listen#DIFFERENCE#UNIX_NETWORK)/(Tcp_Syn#DIFFERENCE#UNIX_NETWORK)|SPSDetector@Tcp_Syn|SPSDetector@Tcp_Syn|SPSDetector@CommittedVirtualMemorySize|
17.0,5,3,0,0,1,0,1,SPSDetector@Tcp_Listen|SPSDetector@Tcp_Listen|SPSDetector@(Tcp_Listen#DIFFERENCE#UNIX_NETWORK)/(Tcp_Syn#DIFFERENCE#UNIX_NETWORK)|SPSDetector@Tcp_Syn|SPSDetector@Buffers|
18.0,4,2,0,0,1,0,1,SPSDetector@Tcp_Listen|SPSDetector@Tcp_Listen|SPSDetector@(Tcp_Listen#DIFFERENCE#UNIX_NETWORK)/(Tcp_Syn#DIFFERENCE#UNIX_NETWORK)|SPSDetector@Buffers|
19.0,2,0,0,0,1,0,1,SPSDetector@(Tcp_Listen#DIFFERENCE#UNIX_NETWORK)/(Tcp_Syn#DIFFERENCE#UNIX_NETWORK)|SPSDetector@Buffers|
20.0,3,0,0,0,2,1,0,HistoricalIndicatorChecker@CPU I/O Wait Processes|SPSDetector@Buffers|SPSDetector@CPU I/O Wait Processes|
21.0,1,0,0,0,1,0,0,SPSDetector@Buffers|
22.0,2,0,0,2,0,0,0,HistoricalIndicatorChecker@ProcessCpuLoad|HistoricalIndicatorChecker@ProcessCpuLoad|
23.0,1,0,0,0,1,0,0,SPSDetector@Buffers|
24.0,3,0,0,2,1,0,0,SPSDetector@Buffers|HistoricalIndicatorChecker@ProcessCpuLoad|HistoricalIndicatorChecker@ProcessCpuLoad|
25.0,0,0,0,0,0,0,0,
26.0,0,0,0,0,0,0,0,
27.0,0,0,0,0,0,0,0,
28.0,2,0,1,0,0,0,1,SPSDetector@(Tcp_Listen#DIFFERENCE#UNIX_NETWORK)/(Tcp_Syn#DIFFERENCE#UNIX_NETWORK)|SPSDetector@CommittedVirtualMemorySize|
29.0,4,0,1,2,0,0,1,SPSDetector@(Tcp_Listen#DIFFERENCE#UNIX_NETWORK)/(Tcp_Syn#DIFFERENCE#UNIX_NETWORK)|HistoricalIndicatorChecker@SystemCpuLoad|HistoricalIndicatorChecker@SystemCpuLoad|SPSDetector@CommittedVirtualMemorySize|
30.0,5,0,1,4,0,0,0,HistoricalIndicatorChecker@SystemCpuLoad|HistoricalIndicatorChecker@SystemCpuLoad|HistoricalIndicatorChecker@ProcessCpuLoad|HistoricalIndicatorChecker@ProcessCpuLoad|SPSDetector@CurrentThreadUserTime|
31.0,3,0,1,2,0,0,0,HistoricalIndicatorChecker@ProcessCpuLoad|HistoricalIndicatorChecker@ProcessCpuLoad|SPSDetector@CurrentThreadUserTime|
